Price,Close,High,Low,Open,Volume
Ticker,MCD,MCD,MCD,MCD,MCD
Date,,,,,
2000-01-03,21.408550262451172,21.64492226850347,21.0371085386547,21.577387409631385,4520600
2000-01-04,20.96958351135254,21.37479285456708,20.73321139447739,21.239723073495565,4216500
2000-01-05,21.307249069213867,21.813760536786305,20.969574757498908,20.969574757498908,5231600
2000-01-06,21.003341674804688,21.27348111756745,20.902039383768653,21.13841139618607,4809400
2000-01-07,21.543622970581055,21.61115783882739,21.003344024610367,21.070878892856705,5124700
2000-01-10,21.64492416381836,22.151435649711146,21.476087001854097,21.611156731425506,4113900
2000-01-11,22.151437759399414,22.42157724427014,21.67869366087565,21.67869366087565,5440200
2000-01-12,23.0969181060791,23.26575522673757,21.948825685601484,22.117662806259958,8090000
2000-01-13,22.86054801940918,23.56966398456072,22.624176031025332,23.06315258088105,5700200
2000-01-14,23.020946502685547,23.13069065543029,22.624179181223784,23.13069065543029,3365400
2000-01-18,22.421566009521484,22.9618447085461,22.252728916076293,22.894309871168023,3401100
2000-01-19,22.894315719604492,23.029385428864693,22.151432318673372,22.151432318673372,3344700
2000-01-20,22.995624542236328,22.995624542236328,22.151438619246743,22.995624542236328,3309700
2000-01-21,22.18520164489746,22.624178237566664,21.847527342844224,22.489108516745368,3722600
2000-01-24,21.34101676940918,22.387807148921336,21.34101676940918,22.286504854129838,3593500
2000-01-25,21.50986099243164,21.74623309124957,21.172186565548884,21.476093549743364,3304500
2000-01-26,19.314973831176758,21.408554910779834,18.740927406124303,21.408554910779834,16703200
2000-01-27,20.3279972076416,20.49683439375158,19.382508965425714,19.450043839869707,12082200
2000-01-28,19.855249404907227,20.22669114547522,19.652644819142868,20.057853990671585,4444200
2000-01-31,20.192922592163086,20.530596883001934,20.05785287582755,20.125387733995318,4838300
2000-02-01,19.78771209716797,20.29422349897261,19.720177243594016,20.226688645398657,4679500
2000-02-02,19.179893493652344,19.855241856104893,19.11235865740709,19.78770701985964,5769100
2000-02-03,18.909757614135742,19.55133867604392,18.60585079533713,19.21366443293435,9225700
2000-02-04,18.977298736572266,19.3825079622642,18.707159252777643,19.3825079622642,7752200
2000-02-07,18.87599754333496,19.24743935545783,18.36948598134923,19.04483473066354,9992900
2000-02-08,19.618865966796875,20.32798160415098,19.17988961986338,19.450028910283994,12144800
2000-02-09,19.38251304626465,19.821489822573778,19.112373491612875,19.821489822573778,5915400
2000-02-10,19.179893493652344,19.58510251112387,18.97728898491658,19.179893493652344,5353400
2000-02-11,18.87599754333496,19.146137043060683,18.80846266840353,18.94353241826639,3920500
2000-02-14,18.30194664001465,19.078597512192392,17.998039776988577,19.078597512192392,4426400
2000-02-15,18.234416961669922,18.437021594577363,18.065579767580385,18.234416961669922,4669200
2000-02-16,18.031810760498047,18.605857170476447,17.96427588873588,18.23441537578454,3804900
2000-02-17,18.234416961669922,18.403254155759456,18.031812328762477,18.1331146452162,4272000
2000-02-18,17.559066772460938,18.200648058377777,17.457764464158277,18.133113186176004,5494900
2000-02-22,17.457763671875,17.93050775583293,17.390228802738154,17.42399623730658,4479500
2000-02-23,17.6265926361084,18.031801662225835,17.49152296073592,17.52529037957904,4927400
2000-02-24,16.951265335083008,17.491544708312745,16.748660570121856,17.35647486500531,6154300
2000-02-25,16.748647689819336,17.187624342979923,16.61357795038531,17.01878716868739,4551200
2000-02-28,16.816173553466797,17.120080304433063,16.546034219274556,16.883708387014856,3880600
2000-02-29,17.153860092163086,17.525301944552446,17.05255776878417,17.153860092163086,4883900
